,0,1,2,3,4
0,Men's Singles Rankings,Men's Singles Rankings,Men's Singles Rankings,Men's Singles Rankings,Men's Singles Rankings
1,RK,PLAYER,COUNTRY,MOVEMENT,POINTS
2,1,Novak Djokovic,,0,12008
3,2,Daniil Medvedev,,1,9940
4,3,Rafael Nadal,,1,9670
5,4,Dominic Thiem,,0,8625
6,5,Stefanos Tsitsipas,,0,6765
7,6,Roger Federer,,0,6375
8,7,Alexander Zverev,,0,5635
9,8,Andrey Rublev,,0,5011
10,9,Diego Schwartzman,,0,3640
11,10,Matteo Berrettini,,0,3453
12,11,Roberto Bautista Agut,,2,2910
13,12,Denis Shapovalov,,1,2865
14,13,David Goffin,,1,2795
15,14,Gael Monfils,,2,2770
16,15,Pablo Carreno Busta,,1,2630
17,16,Grigor Dimitrov,,1,2620
18,17,Fabio Fognini,,1,2530
19,18,Felix Auger-Aliassime,,1,2516
20,19,Milos Raonic,,4,2450
21,20,Cristian Garin,,2,2385
22,21,Stan Wawrinka,,1,2365
23,22,Karen Khachanov,,1,2200
24,23,Alex De Minaur,,0,2190
25,24,Borna Coric,,0,2060
26,25,Casper Ruud,,0,1909
27,26,Dusan Lajovic,,1,1895
28,27,John Isner,,1,1850
29,28,Daniel Evans,,0,1813
30,29,Ugo Humbert,,2,1790
31,30,Taylor Fritz,,3,1775
32,31,Benoit Paire,,2,1773
33,32,Jannik Sinner,,2,1719
34,33,Filip Krajinovic,,1,1665
35,34,Adrian Mannarino,,2,1661
36,35,Hubert Hurkacz,,5,1645
37,36,Nikoloz Basilashvili,,6,1645
38,37,Lorenzo Sonego,,2,1643
39,38,Reilly Opelka,,1,1457
40,39,Jan-Lennard Struff,,2,1450
41,40,John Millman,,1,1426
42,41,Kei Nishikori,,1,1423
43,42,Aslan Karatsev,,3,1395
44,43,Alexander Bublik,,1,1385
45,44,Marton Fucsovics,,2,1382
46,45,Marin Cilic,,2,1373
47,46,Miomir Kecmanovic,,8,1364
48,47,Albert Ramos-Vinolas,,0,1360
49,48,Guido Pella,,0,1288
50,49,Richard Gasquet,,1,1185
51,50,Nick Kyrgios,,1,1185
52,51,Tommy Paul,,0,1155
53,52,Alejandro Davidovich Fokina,,0,1144
54,53,Jeremy Chardy,,1,1120
55,54,Laslo Djere,,3,1106
56,55,Jordan Thompson,,2,1104
57,56,Frances Tiafoe,,8,1095
58,57,Pablo Andujar,,2,1095
59,58,Tennys Sandgren,,0,1088
60,59,Aljaz Bedene,,3,1085
61,60,Sam Querrey,,0,1073
62,61,Cameron Norrie,,2,1070
63,62,Feliciano Lopez,,1,1066
64,63,Kyle Edmund,,7,1050
65,64,Yoshihito Nishioka,,5,1046
66,65,Vasek Pospisil,,2,1033
67,66,Jo-Wilfried Tsonga,,0,1025
68,67,Gilles Simon,,2,1025
69,68,Stefano Travaglia,,3,1024
70,69,Jiri Vesely,,1,993
71,70,Fernando Verdasco,,0,985
72,71,Dominik Koepfer,,0,976
73,72,Pablo Cuevas,,1,972
74,73,Pierre-Hugues Herbert,,20,972
75,74,Corentin Moutet,,2,963
76,75,Thiago Monteiro,,1,954
77,76,Radu Albot,,1,936
78,77,Egor Gerasimov,,1,936
79,78,Soon Woo Kwon,,1,910
80,79,Federico Delbonis,,7,906
81,80,Lucas Pouille,,1,897
82,81,Lloyd Harris,,3,885
83,82,Steve Johnson,,1,885
84,83,Federico Coria,,2,878
85,84,Salvatore Caruso,,5,876
86,85,Marcos Giron,,5,864
87,86,Alexei Popyrin,,4,863
88,87,Emil Ruusuvuori,,0,861
89,88,Ricardas Berankis,,10,860
90,89,Marco Cecchinato,,0,856
91,90,Kevin Anderson,,2,845
92,91,Juan Ignacio Londero,,1,832
93,92,Sebastian Korda,,0,824
94,93,Pedro Martinez,,2,823
95,94,Mikael Ymer,,0,820
96,95,Roberto Carballes Baena,,2,806
97,96,Andreas Seppi,,11,804
98,97,Norbert Gombos,,2,799
99,98,Jaume Munar,,4,792
100,99,Dennis Novak,,1,785
101,100,Attila Balazs,,1,784
102,101,Gianluca Mager,,0,780
103,102,Joao Sousa,,2,777
104,103,James Duckworth,,0,771
105,104,Mikhail Kukushkin,,8,769
106,105,Facundo Bagnis,,13,768
107,106,Andrej Martin,,2,763
108,107,Yannick Hanfmann,,2,750
109,108,Yuichi Sugita,,0,723
110,109,Yasutaka Uchiyama,,0,716
111,110,Pedro Sousa,,0,716
112,111,Philipp Kohlschreiber,,5,704
113,112,Daniel Elahi Galan,,9,702
114,113,Kamil Majchrzak,,2,690
115,115,Ilya Ivashka,,2,673
116,116,Gregoire Barrere,,1,655
117,117,Taro Daniel,,0,647
118,118,Andy Murray,,2,640
119,119,Mackenzie McDonald,,1,633
120,120,Lorenzo Musetti,,1,630
121,121,Hugo Dellien,,7,629
122,122,Christopher OConnell,,0,617
123,123,Denis Kudla,,0,606
124,124,Thiago Seyboth Wild,,0,605
125,125,Damir Dzumhur,,0,599
126,126,Benjamin Bonzi,,1,586
127,127,Arthur Rinderknech,,11,586
128,128,Evgeny Donskoy,,0,583
129,129,Jozef Kovalik,,0,583
130,130,Peter Gojowczyk,,4,580
131,131,Antoine Hoang,,0,575
132,132,Carlos Alcaraz,,0,561
133,133,Cedrik-Marcel Stebe,,0,555
134,134,Henri Laaksonen,,0,548
135,135,Prajnesh Gunneswaran,,5,546
136,136,Carlos Taberner,,0,541
137,137,Marc Polmans,,2,538
138,138,Tomas Machac,,1,538
139,139,Sumit Nagal,,0,532
140,140,Jurij Rodionov,,1,531
141,141,Federico Gaio,,1,526
142,142,Daniel Altmaier,,1,516
143,143,Jeffrey John Wolf,,1,512
144,144,Go Soeda,,0,510
145,145,Brandon Nakashima,,0,508
146,146,Nikola Milojevic,,1,501
147,147,Jason Jung,,1,500
148,148,Leonardo Mayer,,2,492
149,149,Botic van de Zandschulp,,0,489
150,150,Bernabe Zapata Miralles,,0,489
