,ATP Rankings (Singles) as of 15 March 2021[1],ATP Rankings (Singles) as of 15 March 2021[1],ATP Rankings (Singles) as of 15 March 2021[1],ATP Rankings (Singles) as of 15 March 2021[1],ATP Rankings (Singles) as of 15 March 2021[1]
,#,Player,Points,Move†,Unnamed: 4_level_1
0,1,Novak Djokovic (SRB),12008,,
1,2,Daniil Medvedev (RUS),9940,1.0,
2,3,Rafael Nadal (ESP),9670,1.0,
3,4,Dominic Thiem (AUT),8625,,
4,5,Stefanos Tsitsipas (GRE),6765,,
5,6,Roger Federer (SUI),6375,,
6,7,Alexander Zverev (GER),5635,,
7,8,Andrey Rublev (RUS),5011,,
8,9,Diego Schwartzman (ARG),3640,,
9,10,Matteo Berrettini (ITA),3453,,
10,11,Roberto Bautista Agut (ESP),2910,2.0,
11,12,Denis Shapovalov (CAN),2865,1.0,
12,13,David Goffin (BEL),2795,1.0,
13,14,Gaël Monfils (FRA),2770,2.0,
14,15,Pablo Carreño Busta (ESP),2630,1.0,
15,16,Grigor Dimitrov (BUL),2620,1.0,
16,17,Fabio Fognini (ITA),2530,1.0,
17,18,Félix Auger-Aliassime (CAN),2516,1.0,
18,19,Milos Raonic (CAN),2450,4.0,
19,20,Cristian Garín (CHI),2385,1.0,
